      16,   0.027529,   0.912836,   0.192089
      32,   0.022279,   0.933590,   0.207715
      49,   0.022768,   0.980956,   0.239334
      63,   0.017152,   0.995361,   0.242263
      79,   0.022890,   0.999390,   0.220167
      94,   0.032167,   1.020997,   0.215650
     110,   0.012391,   1.042483,   0.244705
     125,   0.012635,   1.037600,   0.246414
     141,   0.023256,   0.955564,   0.231521
     157,   0.024843,   0.950436,   0.210279
     172,   0.028383,   0.992065,   0.223952
     188,   0.021425,   0.977416,   0.214674
     204,   0.019716,   0.991088,   0.232985
     219,   0.019349,   0.984984,   0.225783
     235,   0.021669,   0.993408,   0.223341
     250,   0.018739,   0.980590,   0.224196
     266,   0.023378,   0.990844,   0.225172
     282,   0.021181,   0.973387,   0.217359
     297,   0.020082,   0.970457,   0.222975
     313,   0.023988,   0.992919,   0.233107
     329,   0.022523,   0.994140,   0.227126
     344,   0.024354,   0.982787,   0.218702
     360,   0.024965,   0.980712,   0.219435
     376,   0.025331,   0.989623,   0.221266
     391,   0.021669,   0.989990,   0.227126
     407,   0.020326,   0.986938,   0.225661
     422,   0.023500,   0.984130,   0.227126
     438,   0.023012,   0.985106,   0.225783
     454,   0.022035,   0.987792,   0.226027
     469,   0.027773,   0.988281,   0.221632
     486,   0.022279,   0.985229,   0.223585
     500,   0.024721,   0.984130,   0.227126
     516,   0.025331,   0.985229,   0.220533
     532,   0.023622,   0.984618,   0.220656
     547,   0.020326,   0.989135,   0.225783
     564,   0.024110,   0.984862,   0.220289
     579,   0.023622,   0.982421,   0.212721
     594,   0.023012,   0.985229,   0.223585
     610,   0.020326,   0.985961,   0.221144
     625,   0.022890,   0.985595,   0.220778
     641,   0.023134,   0.985106,   0.224684
     657,   0.023134,   0.981078,   0.221388
     672,   0.026186,   0.983642,   0.216993
     688,   0.022523,   0.990356,   0.225661
     704,   0.022645,   0.979857,   0.221388
     719,   0.022890,   0.981444,   0.221144
     735,   0.022523,   0.984008,   0.218092
     750,   0.023622,   0.984862,   0.225783
     766,   0.024477,   0.984374,   0.221998
     782,   0.027406,   0.985106,   0.219313
     797,   0.024843,   0.983275,   0.221144
     813,   0.024110,   0.986816,   0.225539
     829,   0.023134,   0.984496,   0.220045
     844,   0.025575,   0.985961,   0.222853
     860,   0.022890,   0.983275,   0.224684
     876,   0.024721,   0.988281,   0.223219
     891,   0.027895,   0.986816,   0.221266
     907,   0.021791,   0.983275,   0.220289
     922,   0.024599,   0.983520,   0.218580
     938,   0.020692,   0.985839,   0.224196
     954,   0.024477,   0.986327,   0.223585
     969,   0.027651,   0.982543,   0.221632
     985,   0.023500,   0.989745,   0.223097
    1000,   0.024599,   0.984252,   0.223219
    1017,   0.023866,   0.983275,   0.221510
    1032,   0.026064,   0.985717,   0.219435
    1049,   0.024965,   0.987426,   0.220656
    1063,   0.025087,   0.989013,   0.221876
    1079,   0.021791,   0.983764,   0.219801
    1094,   0.021058,   0.983031,   0.220411
    1110,   0.023378,   0.986327,   0.220656
    1126,   0.022768,   0.983520,   0.220656
    1141,   0.025209,   0.979491,   0.219923
    1157,   0.021669,   0.988769,   0.224684
    1172,   0.019838,   0.986083,   0.220289
    1188,   0.019960,   0.989013,   0.222853
    1204,   0.021547,   0.984862,   0.222609
    1219,   0.023744,   0.980223,   0.220656
    1235,   0.021181,   0.982299,   0.220900
    1250,   0.021547,   0.981200,   0.221998
    1266,   0.024354,   0.984984,   0.220411
    1282,   0.022279,   0.987670,   0.223219
    1297,   0.025697,   0.987914,   0.224074
    1313,   0.020692,   0.983153,   0.221510
    1329,   0.020204,   0.987304,   0.223830
    1344,   0.020570,   0.987426,   0.221022
    1360,   0.023256,   0.985106,   0.227248
    1376,   0.023134,   0.985229,   0.223585
    1391,   0.023622,   0.987792,   0.221388
    1407,   0.023866,   0.984740,   0.220900
    1423,   0.024843,   0.986571,   0.221876
    1438,   0.022523,   0.986694,   0.223585
